,Z1,x1,y1,z1,Z2,x2,y2,z2,Z3,x3,y3,z3,d1,d2,d3
6141eb094e27a1844a5f03dc,74.0,0.04166667,0.70833333,0.25,34.0,0.3333333333333333,0.54166667,0.144826,0.0,0.83333333,0.6666666666666666,0.144826,0.2370663655284927,0.3520068015416117,0.5153881991599472
6141d6544e27a1844a5f01ea,74.0,0.91666667,0.3333333333333333,0.25,34.0,0.83333333,0.79166667,0.355174,0.0,0.08333333,0.54166667,0.355174,0.28677887822889303,0.3535533905932738,0.4775724691934781
61421dc931cf3ef3d4a9f318,34.0,0.95833333,0.29166667,0.355174,0.0,0.54166667,0.20833333,0.25,0.0,0.70833333,0.91666667,0.144826,0.35200679877967017,0.43774092953151084,0.49736433437069055
6141d0dabaaf234b35290260,74.0,0.41666667,0.20833333,0.25,0.0,0.08333333,0.54166667,0.355174,0.0,0.95833333,0.29166667,0.144826,0.3498160675326393,0.47757247239252737,0.4829946183831775
6143483831cf3ef3d4a9f722,34.0,0.45833333,0.04166667,0.144826,0.0,0.58333333,0.41666667,0.144826,0.0,0.91666667,0.95833333,0.25,0.39528470752104744,0.47757247239252726,0.5764044902558544
6142db3c4e27a1844a5f0954,74.0,0.79166667,0.20833333,0.25,34.0,0.58333333,0.79166667,0.355174,0.0,0.3333333333333333,0.91666667,0.144826,0.34981606515043495,0.47757246192291203,0.5533538274301134
614209959cbada84a8676c3b,74.0,0.29166667,0.08333333,0.25,34.0,0.70833333,0.29166667,0.144826,34.0,0.08333333,0.04166667,0.355174,0.23706636494262787,0.4775724619229119,0.4973643343706905
6141d1104e27a1844a5f00fc,74.0,0.41666667,0.58333333,0.25,34.0,0.83333333,0.04166667,0.355174,0.0,0.83333333,0.29166667,0.355174,0.25,0.5193670343669409,0.6282850677734679
61425bce31cf3ef3d4a9f4a6,34.0,0.45833333,0.16666667,0.144826,0.0,0.04166667,0.3333333333333333,0.25,0.0,0.58333333,0.41666667,0.355174,0.3498160675326392,0.46092347792038346,0.47757247181088186
6141cf4d31cf3ef3d4a9ed86,34.0,0.58333333,0.29166667,0.144826,0.0,0.08333333,0.29166667,0.144826,0.0,0.54166667,0.70833333,0.25,0.4317508383166281,0.5,0.6282850677734679
6141d30c4e27a1844a5f0168,74.0,0.54166667,0.20833333,0.25,34.0,0.45833333,0.91666667,0.355174,0.0,0.95833333,0.41666667,0.144826,0.32105366589888246,0.4775724619229119,0.7377304935435433
614274c03ac25c70a5c6cbd7,0.0,0.29166667,0.70833333,0.25,0.0,0.3333333333333333,0.6666666666666666,0.355174,0.0,0.58333333,0.79166667,0.144826,0.12055617753838534,0.32105366589888235,0.3498160663415371
6141cf1731cf3ef3d4a9ed44,34.0,0.20833333,0.54166667,0.144826,0.0,0.3333333333333333,0.16666667,0.355174,0.0,0.91666667,0.95833333,0.25,0.44776811179150905,0.4775724648311383,0.519367034366941
6141ee3b9cbada84a8676b4b,74.0,0.6666666666666666,0.45833333,0.25,34.0,0.3333333333333333,0.16666667,0.355174,34.0,0.83333333,0.79166667,0.144826,0.3872343766999804,0.4552385330161175,0.6594477066232519
6141fb9fbaaf234b3529054c,74.0,0.79166667,0.3333333333333333,0.25,0.0,0.3333333333333333,0.04166667,0.144826,0.0,0.83333333,0.91666667,0.355174,0.43175084153350396,0.5533538291870763,0.5566608283063095
61420bd99cbada84a8676c4f,74.0,0.91666667,0.70833333,0.25,34.0,0.3333333333333333,0.29166667,0.355174,34.0,0.08333333,0.41666667,0.355174,0.27950850016889767,0.3520067987796701,0.5985681115502971
6141ec563ac25c70a5c6c9db,0.0,0.04166667,0.58333333,0.25,0.0,0.70833333,0.41666667,0.355174,0.0,0.95833333,0.41666667,0.144826,0.21397147330219318,0.3267204938536914,0.3872343752653051
6142031d9cbada84a8676c0b,74.0,0.04166667,0.45833333,0.25,34.0,0.3333333333333333,0.54166667,0.144826,34.0,0.83333333,0.16666667,0.355174,0.3210536689271057,0.3735422216926905,0.659447706623252
61421e623ac25c70a5c6cacd,0.0,0.08333333,0.41666667,0.355174,0.0,0.54166667,0.45833333,0.25,0.0,0.83333333,0.04166667,0.355174,0.4506939094329987,0.4720880546964848,0.5193670343669409
614216593ac25c70a5c6cab1,0.0,0.29166667,0.45833333,0.25,0.0,0.58333333,0.04166667,0.355174,0.0,0.58333333,0.29166667,0.144826,0.3267204938536914,0.3520067987796701,0.5193670343669409
6141d5963ac25c70a5c6c8fd,0.0,0.08333333,0.79166667,0.144826,0.0,0.16666667,0.20833333,0.25,0.0,0.70833333,0.54166667,0.355174,0.43774092953151084,0.49736433437069055,0.5764044902558543
6142e0c84e27a1844a5f0962,74.0,0.54166667,0.45833333,0.25,34.0,0.95833333,0.41666667,0.144826,0.0,0.20833333,0.16666667,0.355174,0.41139552878464786,0.4317508383166281,0.45523853789756336
6141d0a99cbada84a86768a1,74.0,0.16666667,0.3333333333333333,0.25,34.0,0.20833333,0.54166667,0.355174,34.0,0.58333333,0.16666667,0.355174,0.2370663620133027,0.46092347792038346,0.5303300858899106
6141d5679cbada84a867697f,74.0,0.91666667,0.45833333,0.25,34.0,0.95833333,0.29166667,0.355174,34.0,0.08333333,0.04166667,0.144826,0.20143350363609125,0.3498160675326392,0.4609234767150738
61420d8e31cf3ef3d4a9f292,34.0,0.08333333,0.29166667,0.355174,0.0,0.08333333,0.04166667,0.144826,0.0,0.41666667,0.83333333,0.25,0.3267204938536914,0.40690965383867606,0.5764044902558544
6141e6de9cbada84a8676af7,74.0,0.91666667,0.3333333333333333,0.25,34.0,0.08333333,0.91666667,0.144826,34.0,0.08333333,0.29166667,0.355174,0.2014335043255936,0.4299666046380812,0.460923479728348
6143106131cf3ef3d4a9f6ca,34.0,0.3333333333333333,0.6666666666666666,0.144826,0.0,0.20833333,0.54166667,0.355174,0.0,0.54166667,0.08333333,0.25,0.27476586597319547,0.4775724633770252,0.5764044902558543
61420f8731cf3ef3d4a9f2a6,34.0,0.58333333,0.6666666666666666,0.355174,0.0,0.54166667,0.95833333,0.25,0.0,0.70833333,0.16666667,0.144826,0.28677888065042584,0.3128372153877406,0.5566608283063095
6141d0284e27a1844a5f00b2,74.0,0.79166667,0.70833333,0.25,34.0,0.58333333,0.29166667,0.355174,0.0,0.08333333,0.6666666666666666,0.144826,0.3128372127239484,0.4775724619229119,0.6594477072550938
